name,cols,rows,equalities,nz,density,bin,int,cont,rpart,rpack,rcov,rcard,rknp,riknp,rflowbin,rflowint,rflowmx,rvbound,rother,objMin,objMax,objAv,objMed,objAllInt,objRatioLSA,rhsMin,rhsMax,rhsAv,rhsMed,rhsAllInt,rhsRatioLSA,aMin,aMax,aAv,aMed,aAllInt,aRatioLSA
academictimetablesmall,28926,23294,1379,268350,0.039826225333853,28926,0,0,109,5915,23,55,49,655,1055,0,0,0,15433,0,1005,0.385294,0,1,1005,-1,500,0.10316,0,1,500,-7,15,-0.153643,-1,1,15
acc-tight5,1339,3052,277,16134,0.394799820291937,1339,0,0,244,288,11,33,0,647,0,0,0,0,1829,0,1,0.000746826,0,1,1,-1,4,0.675623,0,1,4,-1,1,0.713524,1,1,1
aflow30a,842,479,58,2091,0.518449461715073,421,0,421,29,0,0,0,0,0,0,0,0,0,450,0,500,85.8551,11,1,45.4545,0,10,0.354906,0,1,10,-100,1,-10.649,1,1,100
aflow40b,2728,1442,78,6783,0.172429746889503,1364,0,1364,39,0,0,0,0,0,0,0,0,0,1403,0,500,84.5444,10,1,50,0,10,0.182386,0,1,10,-100,1,-10.8714,1,1,100
air03,10757,124,124,91028,6.82436343026446,10757,0,0,124,0,0,0,0,0,0,0,0,0,0,82,13746,2556.28,2454,1,167.634,1,1,1,1,1,1,1,1,1,1,1,1
air04,8904,823,823,72965,0.995702506225443,8904,0,0,823,0,0,0,0,0,0,0,0,0,0,31,2258,576.724,533,1,72.8387,1,1,1,1,1,1,1,1,1,1,1,1
air05,7195,426,426,52121,1.70048318635463,7195,0,0,426,0,0,0,0,0,0,0,0,0,0,35,2679,543.217,490,1,76.5429,1,1,1,1,1,1,1,1,1,1,1,1
AllColor10,14872,34014,3768,89136,0.017620817653384,476,13776,620,14,0,0,0,0,0,0,3374,176,0,30450,0,10,0.177515,0,1,10,-11,6,-3.24602,0,1,11,-11,4,-2.09828,1,1,11
app1-2,26871,53467,13301,199175,0.013863253991594,13300,0,13571,0,0,266,0,0,0,0,0,0,0,53201,-1,0,-0.00989915,0,1,1,0,1,0.253748,1E-05,0,100000,-1,1,0.107425,0.121038,0,100000
ash608gpia-3col,3651,24748,1216,74244,0.082169268693509,3651,0,0,1216,0,0,0,0,0,0,0,0,0,23532,0,1,0.000821693,0,1,1,0,1,0.0491353,0,1,1,-1,1,0.36609,1,1,1
assign1-5-8,156,161,31,3720,14.8112756808409,130,0,26,26,0,0,5,0,0,0,0,0,0,130,0,1,0.166667,0,1,1,-5,6,-3.71429,-5,1,6,-5,1,-1.96237,-2,1,5
atlanta-ip,48738,21732,7080,257532,0.024314413635613,46667,106,1965,599,165,0,0,1,119,6303,0,22,0,14523,0,17,0.0167059,1.60977E-06,0,16999700,-1,100000,20.4458,0,0,680272,-64,32,0.355166,0.192,0,2285.71
atm20-100,6480,4380,2040,58878,0.207445459157788,2220,0,4260,20,0,0,0,0,20,0,0,20,0,4320,0,1,0.617284,1,1,1,-6051,46945,360.286,0,1,46945,-13035,4327,-332.601,-1,0,130350
attfInst1,1163,1187,349,5923,0.429053351694084,1148,0,15,8,647,0,6,60,12,256,0,0,0,198,0,9,0.508169,0,1,9,-1,5,0.848357,1,1,5,-1,2,0.693399,1,1,2
attfInst2,3021,2480,637,15622,0.20851352361427,2992,0,29,23,1411,3,25,138,95,511,0,0,0,274,0,9,0.396888,0,1,9,-1,4,0.867339,1,1,4,-1,2,0.68762,1,1,2
attfInst3,2424,2305,725,10776,0.192865273512167,2420,0,4,29,1104,0,52,16,60,512,0,0,0,532,0,9,0.476898,0,1,9,-1,5,0.698482,1,1,5,-1,2,0.562732,1,1,2
attfInst4,4167,4067,1070,20360,0.120137917857646,4143,0,24,42,1621,3,84,107,306,671,0,0,0,1233,0,9,0.363571,0,1,9,-1,5,0.761495,1,1,5,-1,2,0.634676,1,1,2
attfInst5,6602,6613,1390,34002,0.077880802929502,6540,0,62,42,3235,5,46,310,165,1209,0,0,0,1601,0,9,0.43199,0,1,9,-1,8,0.705429,1,1,8,-1,2,0.688254,1,1,2
attfInst6,7000,6653,1370,36230,0.077795194434305,6937,0,63,48,3175,6,59,315,291,1156,0,0,0,1603,0,9,0.389571,0,1,9,-1,4,0.735758,1,1,4,-1,2,0.686613,1,1,2
attfInst7,9364,8805,1558,49244,0.059725879993722,9280,0,84,58,4055,1,96,420,380,1287,0,0,0,2508,0,9,0.326143,0,1,9,-1,4,0.721181,1,1,4,-1,2,0.691333,1,1,2
attfInstA,1566,1513,349,9411,0.397196202515618,1545,0,21,8,1000,0,0,105,0,312,0,0,0,88,0,9,0.47318,0,1,9,-1,5,0.892928,1,1,5,-1,2,0.760918,1,1,2
attfInstB,3546,3426,637,22668,0.186589462683589,3492,0,54,23,2144,3,0,263,29,511,0,0,0,453,0,9,0.345178,0,1,9,-1,4,0.927029,1,1,4,-1,2,0.784719,1,1,2
attfInstC,5455,10318,309,32576,0.057877195379419,5386,0,69,253,2805,0,56,0,345,0,0,0,0,6859,0,9,0.584601,0,1,9,0,5,0.416263,0,1,5,-1,1,0.458067,1,1,1
attfInstD,7168,7579,1070,46695,0.085952888503007,7060,0,108,42,4245,4,0,540,95,897,0,0,0,1756,0,9,0.30385,0,1,9,-1,5,0.892202,1,1,5,-1,2,0.790127,1,1,2
attfInstE,7568,9596,1390,47478,0.065376407717451,7460,0,108,42,4630,5,0,540,55,1209,0,0,0,3115,0,9,0.382928,0,1,9,-1,8,0.811067,1,1,8,-1,2,0.776739,1,1,2
attfInstF,8312,10016,1370,53208,0.063911216548229,8190,0,122,48,4990,6,0,610,90,1170,0,0,0,3102,0,9,0.339509,0,1,9,-1,4,0.835663,1,1,4,-1,2,0.783867,1,1,2
attfInstG,11380,14132,1558,75444,0.046911445537108,11200,0,180,58,6775,1,0,900,125,1287,0,0,0,4986,0,9,0.276801,0,1,9,-1,4,0.844396,1,1,4,-1,2,0.798526,1,1,2
australia_ABS_L1-CTA,49758,3946,274,33792,0.017210516334436,918,0,48840,0,0,0,0,0,0,0,0,274,0,3672,0,1,0.776317,1,1,1,0,6319.39,30.989,0,0,37359,-84603.2,6319.39,-2290.94,1,0,500158
b1c1s1,3872,3904,1280,11408,0.07546826310798,288,0,3584,0,0,0,0,0,0,0,0,1072,0,2832,0,1200,20.0169,0,0,60000,0,7500,33.9985,0,1,7500,-480,50,-41.8729,1,0,2400
b2c1s1,3872,3904,1280,11408,0.07546826310798,288,0,3584,0,0,0,0,0,0,0,0,1063,0,2841,0,1200,20.0169,0,0,60000,0,7500,34.0223,0,1,7500,-480,50,-41.8729,1,0,2400
bab1,61152,60680,47180,854392,0.023025068756776,61152,0,0,0,12138,52,0,21,357,47180,0,0,0,932,-6117.18,278.163,-391.948,-82.75,0,25488.2,0,45.1,0.278016,0,0,45.1,-1,4,0.962509,1,0,80
bab2,147912,17245,4557,2027726,0.079495521311826,147912,0,0,21,308,0,0,78,516,4536,0,0,0,11786,-3721.63,360,161.934,240,0,244.685,-36.9111,45.1135,0.200373,0,0,45.1135,-8,8,0.20441,0.2,0,88.8889
bab3,393800,23069,4557,3301838,0.036345552958454,393800,0,0,21,308,0,0,78,516,4488,0,0,0,17658,-2185.72,360,60.8226,0,0,245.493,-36.9111,45.1135,0.149787,0,0,45.1135,-8,8,-0.111407,-0.3,0,88.8889
bab5,21600,4964,1329,155520,0.145044319097502,21600,0,0,21,88,0,0,39,81,1308,0,0,0,3427,-3721.63,360,32.7545,0,0,244.685,-36.9,45.1,0.109629,0,0,45.1,-8,8,-0.0231379,-0.19,0,88.8889
bab6,114240,29904,19461,1283181,0.037561285047727,114240,0,0,21,231,0,0,61,370,19440,0,0,0,9781,-3721.63,360,122.538,240,0,244.685,-36.9111,45.1135,0.0850471,0,0,45.1135,-8,8,0.184522,0.25,0,160
beasleyC3,2500,1750,500,5000,0.114285714285714,1250,0,1250,0,0,0,0,0,0,0,0,417,0,1333,0,10,2.7376,1,1,10,-82,1,0,0,1,82,-82,1,-20.25,1,1,82
bell3a,133,123,0,347,2.12115654991136,39,32,62,0,0,0,0,0,0,0,0,0,0,123,0,60000,13458.2,14.6,0,8219180,-600,99,-21.8699,0,1,600,-1344,1,-94.7867,0.000833,0,16192800
bell5,104,91,0,266,2.81065088757396,30,28,46,0,0,0,0,0,0,0,0,0,0,91,0,60000,15033.7,24.5645,0,328767,-7150,13,-288.308,0,1,7150,-1344,1,-108.21,0.000833,0,16192800
berlin_5_8_0,1083,1532,1,4507,0.271644137139606,794,0,289,0,0,0,0,0,0,0,0,0,0,1532,-1,1,-0.043398,0,1,1,-242,137,-23.8936,-3,1,242,-242,1,-8.95119,-1,1,242
bg512142,792,1307,240,3953,0.381879236125602,240,0,552,0,0,0,0,0,0,0,0,144,0,1163,0,10000,1283.36,3,1,10000,-30,705,50.5103,0,1,70.5,-5621,690,-90.1829,1,1,5621
biella1,7328,1203,1197,71489,0.810938900928175,6110,0,1218,0,0,0,0,0,0,0,0,0,0,1203,200,100000000,79486,22116,0,500000,-138,10000000000,8312550,1,1,10000000000,-90,100000000,8146.16,1,0,100000000
bienst2,505,576,128,2184,0.750825082508251,35,0,470,0,0,0,5,0,0,0,0,56,0,515,0,1,0.0019802,0,1,1,0,15,1.01389,0,1,7.5,-81,1,-10.7656,-1,1,81
binkar10_1,2298,1026,1016,4496,0.190690438503182,170,0,2128,0,0,0,0,10,0,0,0,906,0,110,-20.6,1000000,39195.7,0,0,1204820,-1,84.34,0.909747,0,0,84.34,-1,28.81,0.759942,1,0,28.81
bl15_t,67584,6464,0,190464,0.043598109810981,61440,6144,0,0,0,0,0,320,0,0,0,0,0,6144,11,999000,90924.5,130,1,90818.2,-1,200,2.74613,0,1,200,-1,20,4.97278,1,1,20
blend2,353,274,89,1409,1.45675234176299,231,33,89,0,0,0,0,0,79,0,0,89,0,106,0,24.0142,0.667404,0,0,47.7648,0,998,152.252,0,1,110.889,-5437,7243,-47.4365,2,0,7243
bley_xl1,5831,175620,2288,869391,0.084898130270704,5831,0,0,169,5133,14,0,0,0,1950,0,0,0,168354,0,1000,4.15966,0,1,100,-1,1,0.985731,1,1,1,-1000000,100000000,1509.76,1,0,200000000
blp-ar98,16021,1128,215,200601,1.11002912400878,15806,0,215,0,913,0,0,0,0,0,0,215,0,0,0,1,6.24181E-05,0,1,1,0,1,0.809397,1,1,1,-1047.3,32,-15.3439,2,0,1047.3
blp-ic97,9845,923,92,118149,1.30020738565864,9753,0,92,0,831,0,0,0,0,0,0,92,0,0,0,1,0.000101574,0,1,1,0,1,0.900325,1,1,1,-957.009,15,-23.4071,1,0,957.009
blp-ic98,13640,717,90,191947,1.96267234362794,13550,0,90,0,627,0,0,0,0,0,0,90,0,0,0,1,7.33138E-05,0,1,1,0,1,0.874477,1,1,1,-1973.15,30,-29.0733,2,0,1973.15
BMOIPR2,20503,13897,2429,54649,0.019179785690032,8434,0,12069,0,3032,0,0,0,2,0,0,2429,0,8434,-5000,37500000,600755,0,0,27573500,0,10,0.219616,0,1,10,-100000,555.556,-1543.48,1,0,100000
bnatt350,3150,4923,1377,19061,0.122915114993116,3150,0,0,0,0,183,0,0,0,0,0,0,0,4740,0,1,0.00031746,0,1,1,-2,1.099,0.0356652,0,0,20,-1,1,0.0965838,-0.125,0,8
bnatt400,3600,5614,1586,21698,0.107360566836876,3600,0,0,0,0,209,0,0,0,0,0,0,0,5405,0,1,0.000277778,0,1,1,-2,1.099,0.029793,0,0,20,-1,1,0.093434,-0.125,0,8
bnatt500,4500,7029,1971,27203,0.086002434359242,4500,0,0,0,0,260,0,0,0,0,0,0,0,6769,0,1,0.000222222,0,1,1,-2,1.099,0.0358334,0,0,20,-1,1,0.0966428,-0.125,0,8
bppc4-08,1456,111,20,23964,14.8277398277398,1454,0,2,20,0,0,0,0,0,0,0,0,0,91,0,1,0.00137363,0,1,1,0,1,0.18018,0,1,1,-1,31,14.3019,14,1,31
br1,1344,3243,24,12904,0.296058910767514,1344,0,0,0,235,9,21,0,105,0,0,0,0,2873,0,9,0.732143,0,1,9,0,5,0.660191,1,1,5,-1,1,0.380037,1,1,1
br2,4284,9248,84,42584,0.107485324002727,4284,0,0,9,475,29,54,0,315,0,0,0,0,8366,0,9,0.411765,0,1,9,0,4,0.668685,1,1,4,-1,1,0.4195,1,1,1
br3,6368,12056,128,61408,0.079986861980773,6368,0,0,13,520,4,56,0,345,0,0,0,0,11118,0,9,0.321608,0,1,9,0,5,0.714499,1,1,5,-1,1,0.447629,1,1,1
br4,13386,19440,276,150201,0.057719922970932,9642,3744,0,1,405,8,46,0,471,0,0,0,0,18509,0,9,0.226804,0,1,9,0,5,0.197274,0,1,5,-2,1,0.597506,1,1,2
br5,19468,28981,403,221123,0.039192161260057,19453,15,0,11,1295,57,108,0,660,0,0,0,0,26850,0,9,0.211783,0,1,9,0,8,0.157379,0,1,8,-2,1,0.592738,1,1,2
brazil3,23968,14646,9486,133184,0.037940340865065,23874,94,0,253,2095,0,24,0,69,8865,6,0,0,3334,0,1,4.17223E-05,0,1,1,-5,999,4.89437,0,1,999,-2,9,0.265422,1,1,9
BrazilInstance2,18334,11643,7354,101924,0.047747906494342,18244,90,0,209,1731,3,20,0,63,6816,8,0,0,2793,0,1,5.45435E-05,0,1,1,-4,999,5.59813,0,1,999,-2,9,0.263863,1,1,9
bs24_t,112640,10560,0,317440,0.026687327823692,102400,10240,0,0,0,0,0,320,0,0,0,0,0,10240,11,999000,90925.2,130,1,90818.2,-1,235,1.56439,0,1,235,-1,20,4.96875,1,1,20
buildingenergy,154978,277594,26281,788969,0.001833917574665,0,26287,128691,0,0,0,0,0,0,0,0,17518,0,260076,-0.056,6600,0.0789113,0,0,214286,0,187.401,1.7322,0,0,187.401,-64,1,-2.64524,-0.5,0,1280
bupa.sc,345,5362,0,42860,2.31689451805242,345,0,0,0,0,5362,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c05100,500,105,100,1000,1.90476190476191,500,0,0,100,0,0,0,5,0,0,0,0,0,0,10,50,31.184,32,1,5,1,254,12.0571,1,1,254,1,25,7.796,5,1,25
c10100,1000,110,100,2000,1.81818181818182,1000,0,0,100,0,0,0,10,0,0,0,0,0,0,10,50,29.736,30,1,5,1,126,11.5455,1,1,126,1,25,7.844,5,1,25
c10400,4000,410,400,8000,0.487804878048781,4000,0,0,400,0,0,0,10,0,0,0,0,0,0,10,50,29.9945,30,1,5,1,491,12.639,1,1,491,1,25,7.979,5,1,25
c201600,32000,1620,1600,64000,0.123456790123457,32000,0,0,1600,0,0,0,20,0,0,0,0,0,0,10,50,30.0595,30,1,5,1,979,12.8494,1,1,979,1,25,8.00994,5,1,25
c20400,8000,420,400,16000,0.476190476190476,8000,0,0,400,0,0,0,20,0,0,0,0,0,0,10,50,29.9352,30,1,5,1,245,12.3381,1,1,245,1,25,7.98875,5,1,25
c60900,54000,960,900,108000,0.208333333333333,54000,0,0,900,0,0,0,60,0,0,0,0,0,0,10,50,29.9442,30,1,5,1,185,12.1729,1,1,185,1,25,8.01193,5,1,25
cap6000,6000,2176,123,48243,0.369508272058823,6000,0,0,90,1905,0,0,2,0,33,0,0,0,146,-91110,0,-2161.6,-842,1,91110,-1000000,800000,-1561.58,1,1,1000000,-1,99446,964.735,100,1,99446
cargo_07,6477,14904,99,42310,0.043829476795177,6243,234,0,0,27,0,0,58,0,0,81,0,0,14738,0,1,0.000154392,0,1,1,-412819,42000,1748.64,0,1,412819,-28193,42001,30.7126,1,1,42001
cbs_L1-CTA,24793,10112,244,64388,0.025682588541989,2467,0,22326,0,0,0,0,0,0,0,0,244,0,9868,0,240525,62.6403,0,1,40087.5,0,34.3015,3.8849,0,0,213,-161040,34.3015,-6169.14,1,0,999999
cbs-cta,24793,10112,244,64388,0.025682588541989,2467,0,22326,0,0,0,0,0,0,0,0,244,0,9868,0,240525,62.6403,0,1,40087.5,0,34.3015,3.8849,0,0,213,-161040,34.3015,-6169.14,1,0,999999
cdc7-4-3-2,11811,14478,0,259842,0.151954689874292,11811,0,0,0,14478,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cdma,7891,9095,60,168227,0.234401805969724,4235,0,3656,0,485,0,0,0,5,0,0,60,0,8545,-172440000000,5,-25388000000,0,0,172440000000,-13,3000000,16375.7,0,0,3000000,-50000000,3000000,-6609.72,10000,0,50000000
chromaticindex1024-7,73728,67583,18431,270324,0.005425186668615,73728,0,0,18431,0,0,0,0,0,0,0,0,0,49152,0,1,5.42535E-05,0,1,1,0,1,0.272717,0,1,1,-1,1,0.636347,1,1,1
chromaticindex512-7,36864,33791,9215,135156,0.010850052220512,36864,0,0,9215,0,0,0,0,0,0,0,0,0,24576,0,1,0.000108507,0,1,1,0,1,0.272706,0,1,1,-1,1,0.636331,1,1,1
circ10-3,2700,42620,450,307320,0.267062933416758,2700,0,0,450,0,0,0,0,0,0,0,0,0,42170,0,5,0.925926,0,1,5,-32,3,-9.59831,-4,1,32,-16,1,-1.9793,-1,1,16
cl_06_020_01,2611,211,20,126584,22.9767970362357,2609,0,2,20,0,0,0,0,0,0,0,0,0,191,0,1,0.00076599,0,1,1,0,1,0.0947867,0,1,1,-1,94,47.9705,42,1,94
cl_06_020_03,3150,242,20,161395,21.1721107175653,3148,0,2,20,0,0,0,0,0,0,0,0,0,222,0,1,0.000634921,0,1,1,0,1,0.0826446,0,1,1,-1,93,48.8122,47,1,93
cl_06_020_09,2912,225,20,141583,21.609126984127,2910,0,2,20,0,0,0,0,0,0,0,0,0,205,0,1,0.000686813,0,1,1,0,1,0.0888889,0,1,1,-1,97,49.3676,43,1,97
cl_08_020_01,646,79,19,14879,29.1550730885292,612,32,2,18,0,0,0,0,0,0,0,0,0,61,0,1,0.00309598,0,1,1,0,2,0.253165,0,1,2,-1,99,79.1649,84,1,99
cl_08_020_02,232,59,20,4387,32.0499707773232,229,1,2,19,0,0,0,0,0,0,0,0,0,40,0,1,0.00862069,0,1,1,0,1,0.338983,0,1,1,-1,97,61.9642,71,1,97
cl_08_020_03,866,98,20,23150,27.2776547108451,864,0,2,20,0,0,0,0,0,0,0,0,0,78,0,1,0.00230947,0,1,1,0,1,0.204082,0,1,1,-1,98,72.4056,80,1,98
cl_08_020_04,689,93,19,16895,26.3667150459603,687,0,2,19,0,0,0,0,0,0,0,0,0,74,0,1,0.00290276,0,1,1,0,1,0.204301,0,1,1,-1,98,67.1798,74,1,98
cl_08_020_06,586,80,20,14414,30.7465870307167,584,0,2,20,0,0,0,0,0,0,0,0,0,60,0,1,0.00341297,0,1,1,0,1,0.25,0,1,1,-1,99,71.0334,80,1,99
cl_08_020_07,1051,109,20,24010,20.9586326696287,1049,0,2,20,0,0,0,0,0,0,0,0,0,89,0,1,0.00190295,0,1,1,0,1,0.183486,0,1,1,-1,99,61.3227,74,1,99
cl_08_020_09,431,67,18,9051,31.3432835820896,423,6,2,12,0,0,0,0,0,0,0,0,0,55,0,1,0.00464037,0,1,1,0,1,0.268657,0,1,1,-1,97,75.4885,85,1,97
cl_08_020_10,1263,108,20,27363,20.0602621623999,1261,0,2,20,0,0,0,0,0,0,0,0,0,88,0,1,0.00158353,0,1,1,0,1,0.185185,0,1,1,-1,100,65.3596,72,1,100
cmflsp50-24-8-8,16392,3520,1096,158622,0.274908907892985,1392,0,15000,0,0,0,0,0,0,0,0,0,0,3520,0,11083400,565520,173907,0,76089.2,0,1722.2,12.0536,0,0,1722.2,-1,1106.74,21.2476,1,0,1286.91
CMS750_4,11697,16381,1,44903,0.023434757143962,7196,0,4501,0,0,0,0,0,0,0,0,0,0,16381,-1,1,-0.0640335,0,1,1,-121,1000,-11.8156,-1,1,1000,-121,1,-5.47943,-1,1,121
co-100,48417,2187,173,1995817,1.88483812690391,48417,0,0,160,2,0,0,0,1,13,0,0,0,2011,-2135,8373000,18489,5702.74,0,209325,0,40,0.103338,0,1,40,-20000,3052,22.0772,1,1,20000
cod105,1024,1024,0,57344,5.46875,1024,0,0,0,1024,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
comp01_2idx,2674,3288,30,13852,0.157550313280814,2651,23,0,2,1287,0,28,0,30,0,0,0,0,1941,0,70,8.319,2,1,70,0,8,0.635949,0,1,8,-1,1,0.359659,1,1,1
comp02_2idx,8128,10665,82,45466,0.052449601500235,8056,72,0,0,3893,0,82,0,25,0,0,0,0,6665,0,126,11.4728,2,1,126,0,16,0.590061,0,1,16,-1,1,0.329565,1,1,1
comp02_3idx,41264,48059,4331,228533,0.011523989823127,26170,8729,6365,0,2072,0,54,0,0,1537,520,2108,0,41768,0,1,2.42342E-05,0,1,1,-82,1E+100,6.24233E+095,0,1,1E+100,-336,25,-3.68758,1,1,336
comp03_2idx,8435,10688,72,44851,0.049749715151795,8373,62,0,2,3504,0,70,0,25,0,0,0,0,7087,0,116,9.69176,2,1,116,0,16,0.565868,0,1,16,-1,1,0.301019,1,1,1
comp04_2idx,10713,11883,79,49365,0.038777690434693,10652,61,0,0,2508,0,79,0,25,0,0,0,0,9271,0,65,7.04266,3,1,65,0,18,0.488092,0,1,18,-1,1,0.221027,1,1,1
comp04_3idx,43191,49246,3863,237002,0.011142632081857,30044,7535,5612,0,2148,0,66,0,0,1579,406,1718,0,43329,0,1,2.3153E-05,0,1,1,-79,1E+100,6.09187E+095,0,1,1E+100,-336,25,-2.47187,1,1,336
comp05_2idx,10706,13253,54,61141,0.04309144925845,10662,44,0,3,4202,0,51,0,36,0,0,0,0,8961,0,240,9.23342,2,1,120,0,9,0.444579,0,1,9,-1,1,0.349144,1,1,1
comp06_2idx,14927,18089,108,74081,0.02743593369131,14835,92,0,0,4900,0,108,0,25,0,0,0,0,13056,0,110,5.9663,5,1,55,0,18,0.487036,0,1,18,-1,1,0.242775,1,1,1
comp06_3idx,58509,65952,5038,321955,0.008343428115568,39335,12021,7153,0,2349,0,78,0,0,2068,644,2108,0,58705,0,1,1.70914E-05,0,1,1,-108,1E+100,4.54876E+095,0,1,1E+100,-336,25,-2.44492,1,1,336
comp07_2idx,17264,21235,131,86577,0.02361613594986,17155,109,0,0,6179,0,131,0,25,0,0,0,0,14900,0,60,4.96409,3,1,60,0,20,0.510384,0,1,20,-1,1,0.253982,1,1,1
comp07_3idx,77256,85368,5870,419693,0.006363622378789,54813,14021,8422,0,2824,0,92,0,0,2608,680,2318,0,76846,0,1,1.2944E-05,0,1,1,-131,1E+100,3.5142E+095,0,1,1E+100,-336,25,-1.84543,1,1,336
comp07-2idx,17264,21235,131,86577,0.02361613594986,17155,109,0,0,6179,0,131,0,25,0,0,0,0,14900,0,60,4.96409,3,1,60,0,20,0.510384,0,1,20,-1,1,0.253982,1,1,1
comp08_2idx,11554,12536,86,51608,0.035630808923753,11487,67,0,0,2355,0,86,0,25,0,0,0,0,10070,0,69,5.04154,3,1,69,0,18,0.49992,0,1,18,-1,1,0.209192,1,1,1
comp08_3idx,46946,53466,4174,255625,0.01018420275186,31811,9095,6040,0,2253,0,54,0,0,1672,490,1838,0,47159,0,1,2.13011E-05,0,1,1,-86,1E+100,5.61104E+095,0,1,1E+100,-312,25,-2.04279,1,1,312
